fid,Pressure_h,Temperatur,Humidity_p,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,SO2_October_2025,O3_October_2025,NO2_October_2025,CO_October_2025,UVAI_October_2025
639,737.52,5.09,59.39,48,1.26,25.546005,76.840248,2599.64328171748,0,0.12478,0.00003,0.02906,-0.14898
640,737.71,30.01,48.81,36,0.59,25.291975,76.22348,2597.59803906793,-0.00006,0.12494,0.00002,0.02931,-0.43874
641,739.36,5.15,59.63,60,1.17,25.545908,76.840399,2579.85463393804,0,0.12478,0.00003,0.02906,-0.14898
642,739.55,30.06,50.94,24,0.58,25.292036,76.223159,2577.81351320094,-0.00006,0.12494,0.00002,0.02931,-0.43874
643,740.98,30.07,50.56,24,0.59,25.292205,76.222917,2562.46500307182,-0.00006,0.12494,0.00002,0.02931,-0.43874
644,741.16,5.28,61.45,180,1.11,25.54582,76.84042,2560.53472274008,0,0.12478,0.00003,0.02906,-0.14898
645,742.57,30.1,49.77,36,0.56,25.292301,76.222584,2545.42731215006,-0.00006,0.12494,0.00002,0.02931,-0.43874
646,742.97,5.34,61.42,72,1.14,25.545895,76.840316,2541.14575161244,0,0.12478,0.00003,0.02906,-0.14898
647,744.05,30.12,50.53,12,0.63,25.292399,76.222326,2529.59485432237,-0.00006,0.12494,0.00002,0.02931,-0.43874
648,744.73,5.42,61.5,96,1.12,25.545895,76.840316,2522.32903039194,0,0.12478,0.00003,0.02906,-0.14898
649,745.47,30.16,50.71,36,0.57,25.292521,76.222089,2514.42820576518,-0.00006,0.12494,0.00002,0.02931,-0.43874
650,746.59,5.51,61.86,60,1.19,25.546204,76.840171,2502.48227207327,0,0.12478,0.00003,0.02906,-0.14898
651,747.09,30.19,49.71,24,0.5,25.292611,76.221712,2497.15395057434,-0.00006,0.12494,0.00002,0.02931,-0.43874
652,748.46,5.64,62.98,36,1.24,25.546419,76.840235,2482.56913061194,0,0.12478,0.00003,0.02906,-0.14898
653,748.62,30.23,50.5,12,0.62,25.292808,76.221207,2480.86720404208,-0.00006,0.12494,0.00002,0.02931,-0.43874
654,750.21,30.26,50.92,72,0.6,25.292808,76.221207,2463.97029593821,-0.00006,0.12494,0.00002,0.02931,-0.43874
655,750.31,5.72,63.8,60,1.29,25.546613,76.840421,2462.90856687993,0,0.12478,0.00003,0.02906,-0.14898
