fid,Pressure_h,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,aod55_Octo,aod47_Octo,UVAI_Octob
1351,974.18,60,0.07,25.545078,76.864773,330.422375793175,0,0,-1.70276
1352,974.18,48,0.06,25.545071,76.864769,330.422375793175,0,0,-1.70276
1353,974.19,24,0.06,25.545071,76.864765,330.336441735664,0,0,-1.70276
1354,974.19,24,0.06,25.545087,76.86478,330.336441735664,0,0,-1.70276
1355,974.19,48,0.05,25.545084,76.864777,330.336441735664,0,0,-1.70276
1356,974.2,36,0.06,25.545086,76.86478,330.250508392425,0,0,-1.70276
1357,974.2,24,0.06,25.545083,76.864789,330.250508392425,0,0,-1.70276
1358,974.21,24,0.07,25.545078,76.864773,330.164575763448,0,0,-1.70276
1359,974.21,12,0.06,25.545087,76.864781,330.164575763448,0,0,-1.70276
1360,974.21,48,0.06,25.545086,76.864778,330.164575763448,0,0,-1.70276
1361,974.21,0,0.06,25.545083,76.864782,330.164575763448,0,0,-1.70276
1362,974.21,36,0.05,25.545082,76.864789,330.164575763448,0,0,-1.70276
1363,974.22,60,0.07,25.545069,76.864765,330.078643848719,0,0,-1.70276
1364,974.22,12,0.06,25.545069,76.864764,330.078643848719,0,0,-1.70276
1365,974.22,36,0.06,25.545086,76.86478,330.078643848719,0,0,-1.70276
1366,974.22,48,0.06,25.545082,76.864775,330.078643848719,0,0,-1.70276
1367,974.22,12,0.06,25.545088,76.864782,330.078643848719,0,0,-1.70276
1368,974.22,36,0.05,25.545083,76.864778,330.078643848719,0,0,-1.70276
1369,974.23,12,0.06,25.545069,76.864766,329.992712648227,0,0,-1.70276
1370,974.23,0,0.06,25.545085,76.864777,329.992712648227,0,0,-1.70276
1371,974.23,48,0.05,25.545083,76.864789,329.992712648227,0,0,-1.70276
1372,974.24,12,0.06,25.545087,76.864781,329.906782161954,0,0,-1.70276
1373,974.24,12,0.05,25.545087,76.864778,329.906782161954,0,0,-1.70276
1374,974.24,72,0.06,25.545077,76.864772,329.906782161954,0,0,-1.70276
1375,974.25,48,0.06,25.545071,76.864763,329.820852389889,0,0,-1.70276
1376,974.25,12,0.05,25.545085,76.864777,329.820852389889,0,0,-1.70276
1377,974.25,36,0.05,25.545083,76.864782,329.820852389889,0,0,-1.70276
1378,974.25,48,0.05,25.545083,76.864785,329.820852389889,0,0,-1.70276
